latitude,longitude,acq_date,frp,confidence,type,Year,Month,Season,County
40.707,-103.1197,2019-01-05,53.2,81,0,2019,1,Winter,
37.0882,-105.084,2019-01-08,24.3,77,0,2019,1,Winter,
38.1084,-103.8768,2019-01-29,11.2,57,0,2019,1,Winter,
37.5436,-103.1038,2019-02-01,25.6,62,0,2019,2,Winter,
40.5408,-104.8271,2019-02-02,29.6,52,0,2019,2,Winter,
40.5499,-104.8276,2019-02-02,25.2,43,0,2019,2,Winter,
39.0274,-105.154,2019-02-05,15.0,66,0,2019,2,Winter,
37.5377,-103.0973,2019-02-05,13.7,51,0,2019,2,Winter,
40.7947,-105.623,2019-02-08,21.1,0,0,2019,2,Winter,
40.793,-105.6358,2019-02-08,63.7,81,0,2019,2,Winter,
39.0526,-105.1558,2019-02-10,8.6,25,0,2019,2,Winter,
40.0259,-102.5455,2019-02-12,17.4,79,0,2019,2,Winter,
40.024,-102.5573,2019-02-12,23.5,83,0,2019,2,Winter,
40.0348,-102.5479,2019-02-12,22.1,84,0,2019,2,Winter,
40.033,-102.5597,2019-02-12,58.4,95,0,2019,2,Winter,
40.1458,-105.4139,2019-02-17,44.5,70,0,2019,2,Winter,
40.3737,-105.5644,2019-02-20,51.3,64,0,2019,2,Winter,
40.3722,-105.5692,2019-02-20,47.2,62,0,2019,2,Winter,
40.7796,-105.6317,2019-02-23,69.5,0,0,2019,2,Winter,
40.7108,-105.7181,2019-02-26,175.4,100,0,2019,2,Winter,
40.7019,-105.7159,2019-02-26,9.1,55,0,2019,2,Winter,
40.709,-105.7301,2019-02-26,192.1,100,0,2019,2,Winter,
40.9419,-105.1026,2019-02-26,6.4,72,0,2019,2,Winter,
40.9401,-105.1143,2019-02-26,6.5,72,0,2019,2,Winter,
40.8114,-105.5325,2019-03-01,28.8,69,0,2019,3,Spring,
38.9144,-105.015,2019-03-05,25.9,72,0,2019,3,Spring,
38.6113,-104.7302,2019-03-08,20.0,65,0,2019,3,Spring,
38.6088,-104.7377,2019-03-08,17.4,67,0,2019,3,Spring,
37.4759,-105.8902,2019-03-09,30.6,86,0,2019,3,Spring,
37.4687,-105.9046,2019-03-09,60.7,94,0,2019,3,Spring,
37.4779,-105.9022,2019-03-09,28.3,85,0,2019,3,Spring,
37.4707,-105.9166,2019-03-09,26.5,84,0,2019,3,Spring,
40.1495,-105.4715,2019-03-12,11.0,52,0,2019,3,Spring,
38.0984,-102.4141,2019-03-16,34.9,78,0,2019,3,Spring,
38.0983,-102.4155,2019-03-16,5.4,61,0,2019,3,Spring,
38.3438,-104.3114,2019-03-18,3.6,44,0,2019,3,Spring,
38.3419,-104.2994,2019-03-18,3.6,47,0,2019,3,Spring,
39.9218,-105.5132,2019-03-19,17.2,63,0,2019,3,Spring,
39.3123,-108.2065,2019-03-19,12.5,78,0,2019,3,Spring,
39.3139,-108.195,2019-03-19,5.9,40,2,2019,3,Spring,
38.0867,-103.1773,2019-03-20,8.4,52,0,2019,3,Spring,
37.2346,-103.5394,2019-03-20,23.7,67,0,2019,3,Spring,
38.4957,-107.8521,2019-03-27,9.9,76,0,2019,3,Spring,
37.392,-104.0857,2019-03-27,14.3,54,0,2019,3,Spring,
