latitude,longitude,acq_date,frp,confidence,type,Year,Month,Season,County
40.77173,-105.44165,2023-02-16,24.63,l,0,2023,2,Winter,
38.03622,-103.15911,2023-03-05,15.52,h,0,2023,3,Spring,
38.12891,-103.98038,2023-03-06,26.67,l,0,2023,3,Spring,
39.80695,-104.84309,2023-03-14,12.52,l,0,2023,3,Spring,
38.6526,-108.03594,2023-03-18,15.31,h,0,2023,3,Spring,
38.56371,-108.07066,2023-04-01,1.82,l,0,2023,4,Spring,
39.26012,-108.82589,2023-04-02,6.3,l,0,2023,4,Spring,
37.40097,-105.995,2023-04-06,11.97,l,0,2023,4,Spring,
39.22302,-108.76621,2023-04-08,2.46,l,0,2023,4,Spring,
38.65447,-107.94532,2023-04-09,3.98,l,0,2023,4,Spring,
37.30438,-104.32075,2023-04-10,4.47,l,0,2023,4,Spring,
38.19691,-102.57619,2023-04-10,51.78,l,0,2023,4,Spring,
38.53785,-107.94595,2023-04-10,3.35,l,0,2023,4,Spring,
38.66812,-108.09241,2023-04-10,4.24,l,0,2023,4,Spring,
37.44397,-105.80308,2023-04-11,8.94,l,0,2023,4,Spring,
37.44335,-105.80752,2023-04-11,8.94,l,0,2023,4,Spring,
37.44606,-105.81271,2023-04-11,12.69,h,0,2023,4,Spring,
37.45065,-105.80456,2023-04-11,9.01,h,0,2023,4,Spring,
39.62891,-105.01439,2023-04-11,1.5,l,0,2023,4,Spring,
39.95543,-105.3984,2023-04-16,9.57,h,0,2023,4,Spring,
39.95455,-105.4003,2023-04-17,6.77,l,0,2023,4,Spring,
40.49147,-104.57157,2023-04-17,2.68,l,0,2023,4,Spring,
38.07673,-103.04219,2023-04-19,17.94,h,3,2023,4,Spring,
38.07544,-103.0375,2023-04-19,17.94,h,3,2023,4,Spring,
38.07908,-103.10724,2023-04-20,5.4,h,0,2023,4,Spring,
38.08451,-103.10966,2023-04-20,18.37,h,3,2023,4,Spring,
38.07651,-103.10449,2023-04-20,10.73,h,0,2023,4,Spring,
37.37904,-107.84177,2023-04-22,3.51,l,0,2023,4,Spring,
37.51774,-105.97211,2023-04-29,2.68,l,0,2023,4,Spring,
37.65886,-106.21143,2023-04-29,2.43,l,0,2023,4,Spring,
40.09152,-106.28191,2023-04-29,2.88,l,0,2023,4,Spring,
38.52338,-107.976,2023-04-30,1.95,l,0,2023,4,Spring,
39.29401,-106.84129,2023-04-30,44.17,l,0,2023,4,Spring,
40.12045,-106.29797,2023-05-01,9.93,l,0,2023,5,Spring,
37.26822,-105.8305,2023-05-03,42.68,h,0,2023,5,Spring,
38.06843,-103.59814,2023-05-03,27.71,l,0,2023,5,Spring,
40.24609,-104.71262,2023-05-03,2.75,l,0,2023,5,Spring,
37.32206,-107.86504,2023-05-08,27.27,h,0,2023,5,Spring,
38.24184,-104.60976,2023-05-08,2.79,l,2,2023,5,Spring,
37.27147,-107.44711,2023-05-12,9.1,l,0,2023,5,Spring,
37.28373,-107.45177,2023-05-12,99.85,l,0,2023,5,Spring,
37.2948,-107.45388,2023-05-12,16.65,h,0,2023,5,Spring,
37.31197,-107.45856,2023-05-29,11.04,h,0,2023,5,Spring,
37.30996,-107.4715,2023-05-29,2.17,l,0,2023,5,Spring,
38.08434,-106.22243,2023-06-11,11.87,l,0,2023,6,Summer,
38.24228,-104.60725,2023-06-14,4.35,l,2,2023,6,Summer,
37.46937,-103.08662,2023-06-21,3.32,l,0,2023,6,Summer,
39.38841,-108.02219,2023-06-27,6.54,h,0,2023,6,Summer,
39.39404,-107.99892,2023-06-27,10.48,h,0,2023,6,Summer,
39.38892,-108.01902,2023-06-27,28.47,h,0,2023,6,Summer,
39.39753,-108.00665,2023-06-27,10.48,h,0,2023,6,Summer,
39.39637,-108.01121,2023-06-27,36.04,h,0,2023,6,Summer,
39.4009,-108.01485,2023-06-27,10.6,h,0,2023,6,Summer,
39.39606,-108.00126,2023-06-27,17.29,h,0,2023,6,Summer,
39.39482,-108.006,2023-06-27,17.29,h,0,2023,6,Summer,
39.39091,-108.0209,2023-06-27,27.38,h,0,2023,6,Summer,
39.39939,-108.00939,2023-06-27,17.29,h,0,2023,6,Summer,
39.39826,-108.01374,2023-06-27,27.33,h,0,2023,6,Summer,
39.3935,-108.0149,2023-06-27,38.97,h,0,2023,6,Summer,
39.39334,-108.01945,2023-06-27,38.97,h,0,2023,6,Summer,
39.39978,-108.01019,2023-06-27,27.46,h,0,2023,6,Summer,
39.39962,-108.01485,2023-06-27,38.97,h,0,2023,6,Summer,
39.35526,-105.2585,2023-06-28,4.26,l,0,2023,6,Summer,
39.39776,-108.0057,2023-06-28,13.17,h,0,2023,6,Summer,
37.0338,-107.7544,2023-06-28,28.46,l,0,2023,6,Summer,
39.35652,-105.25956,2023-06-28,12.41,h,0,2023,6,Summer,
37.28815,-107.22382,2023-06-29,9.38,l,0,2023,6,Summer,
37.28831,-107.22906,2023-06-30,4.29,l,0,2023,6,Summer,
40.43342,-104.96956,2023-07-02,4.19,l,0,2023,7,Summer,
38.16302,-104.52433,2023-07-03,3.11,l,0,2023,7,Summer,
38.16401,-104.52053,2023-07-03,16.25,l,0,2023,7,Summer,
38.13924,-103.92167,2023-07-05,8.08,l,0,2023,7,Summer,
39.40344,-108.01105,2023-07-06,56.67,h,0,2023,7,Summer,
39.40437,-108.00597,2023-07-06,109.1,l,0,2023,7,Summer,
39.39842,-108.01375,2023-07-07,68.73,h,0,2023,7,Summer,
39.40557,-108.01117,2023-07-07,68.73,h,0,2023,7,Summer,
39.401,-108.01374,2023-07-07,199.38,h,0,2023,7,Summer,
39.40098,-108.02012,2023-07-07,202.66,h,0,2023,7,Summer,
38.24144,-104.60677,2023-07-09,3.67,l,2,2023,7,Summer,
39.38953,-108.1332,2023-07-14,51.85,l,0,2023,7,Summer,
39.39051,-108.1348,2023-07-14,54.98,l,0,2023,7,Summer,
40.02662,-108.21253,2023-07-18,18.86,h,0,2023,7,Summer,
39.18603,-108.26584,2023-07-20,52.0,l,0,2023,7,Summer,
39.1893,-108.2729,2023-07-20,52.0,l,0,2023,7,Summer,
39.18821,-108.26788,2023-07-20,101.23,l,0,2023,7,Summer,
39.34112,-108.18954,2023-07-24,12.54,h,0,2023,7,Summer,
38.16533,-104.51598,2023-07-25,4.58,l,0,2023,7,Summer,
40.76479,-105.53503,2023-07-25,6.41,h,0,2023,7,Summer,
40.76788,-105.53419,2023-07-25,7.31,h,0,2023,7,Summer,
39.91956,-104.22883,2023-07-27,96.64,h,0,2023,7,Summer,
40.63774,-103.25269,2023-07-28,6.45,l,0,2023,7,Summer,
38.72855,-107.06736,2023-07-31,15.63,h,0,2023,7,Summer,
40.24362,-104.86951,2023-08-02,1.66,l,0,2023,8,Summer,
37.48902,-103.66606,2023-08-05,6.28,l,0,2023,8,Summer,
37.26694,-107.37229,2023-08-05,21.03,h,0,2023,8,Summer,
37.26651,-107.37659,2023-08-05,21.03,h,0,2023,8,Summer,
37.26841,-107.3988,2023-08-05,9.62,h,0,2023,8,Summer,
37.27412,-107.38248,2023-08-05,9.71,h,0,2023,8,Summer,
37.27369,-107.38683,2023-08-05,9.71,h,0,2023,8,Summer,
37.27641,-107.40069,2023-08-05,5.35,l,0,2023,8,Summer,
37.28042,-107.4015,2023-08-05,5.32,l,0,2023,8,Summer,
37.49222,-103.67937,2023-08-06,8.82,l,0,2023,8,Summer,
37.27272,-107.38324,2023-08-06,3.79,l,0,2023,8,Summer,
37.36209,-106.8027,2023-08-06,34.85,l,0,2023,8,Summer,
38.73052,-107.06175,2023-08-06,81.21,l,0,2023,8,Summer,
38.65007,-108.33188,2023-08-06,20.11,l,0,2023,8,Summer,
38.65339,-108.3326,2023-08-06,20.11,l,0,2023,8,Summer,
37.36503,-106.79945,2023-08-07,49.51,l,0,2023,8,Summer,
37.26612,-107.39288,2023-08-07,2.01,l,0,2023,8,Summer,
38.72344,-107.07629,2023-08-07,4.13,l,0,2023,8,Summer,
