latitude,longitude,Date,frp,confidence,type,Year,Month,Season,County
38.69803,-107.56046,2024-01-01,3.03,n,0,2024,1,Winter,Delta
40.71316,-104.15473,2024-01-01,2.3,n,0,2024,1,Winter,Weld
38.23765,-107.34206,2024-01-03,4.35,n,0,2024,1,Winter,Gunnison
38.23568,-107.32379,2024-01-03,3.38,n,0,2024,1,Winter,Gunnison
38.23504,-107.31792,2024-01-03,3.38,n,0,2024,1,Winter,Gunnison
38.2332,-107.30101,2024-01-03,3.94,n,0,2024,1,Winter,Gunnison
37.76163,-108.76616,2024-01-09,6.09,n,0,2024,1,Winter,Dolores
37.76115,-108.75935,2024-01-09,6.09,n,0,2024,1,Winter,Dolores
37.75619,-108.75982,2024-01-09,6.09,n,0,2024,1,Winter,Dolores
37.75978,-108.75946,2024-01-09,6.82,n,0,2024,1,Winter,Dolores
37.60303,-107.76044,2024-01-10,14.54,n,0,2024,1,Winter,La Plata
40.19149,-104.9818,2024-01-10,17.48,n,0,2024,1,Winter,Weld
38.23351,-107.31708,2024-01-12,2.5,n,0,2024,1,Winter,Gunnison
39.9556,-108.31983,2024-01-15,2.23,n,0,2024,1,Winter,Rio Blanco
38.96766,-104.99226,2024-01-19,5.32,n,0,2024,1,Winter,El Paso
38.98158,-104.99077,2024-01-19,5.47,n,0,2024,1,Winter,El Paso
38.86509,-106.22987,2024-01-22,8.78,n,0,2024,1,Winter,Chaffee
40.98221,-102.25159,2024-01-22,5.75,n,0,2024,1,Winter,Sedgwick
40.09198,-104.88976,2024-01-23,1.11,n,0,2024,1,Winter,Weld
38.12805,-104.6089,2024-01-24,1.02,n,0,2024,1,Winter,Pueblo
40.26576,-103.72587,2024-01-25,2.25,n,0,2024,1,Winter,Morgan
38.33014,-104.66597,2024-01-27,0.56,n,0,2024,1,Winter,Pueblo
39.93768,-105.4012,2024-01-27,3.9,n,0,2024,1,Winter,Boulder
37.04735,-106.13021,2024-01-27,1.46,n,0,2024,1,Winter,Conejos
40.57288,-108.79092,2024-01-30,2.86,n,0,2024,1,Winter,Moffat
40.57635,-108.79199,2024-01-30,2.86,n,0,2024,1,Winter,Moffat
40.57982,-108.79308,2024-01-30,3.75,n,0,2024,1,Winter,Moffat
38.96856,-104.99039,2024-01-31,20.55,n,0,2024,1,Winter,El Paso
